"species" "individualCount" "decimalLatitude" "decimalLongitude" "eventDate" "day" "month" "year" "recordedBy"
"58" "Pygoscelis antarcticus" 30 -62.98323 -60.561714 NA 28 12 2013 "obsr305809"
"59" "Pygoscelis papua" NA -64.84055 -62.52889 NA 27 12 2013 "obsr305809"
"60" "Pygoscelis papua" 2 -64.519745 -62.796837 NA 23 12 2013 "obsr58678"
"61" "Pygoscelis papua" 15 -64.11379 -61.01758 NA 24 12 2013 "obsr58678"
"62" "Pygoscelis antarcticus" 20 -64.11379 -61.01758 NA 24 12 2013 "obsr58678"
"63" "Pygoscelis papua" NA -60.28341 -65.56641 NA 21 5 2004 "obsr85992"
"64" "Pygoscelis antarcticus" 7 -60.46782 -61.867695 NA 18 12 2013 "obsr58678"
"65" "Pygoscelis papua" 15 -62.752865 -59.93644 NA 17 12 2013 "obsr58678"
"66" "Pygoscelis papua" 18 -64.780785 -63.47348 NA 13 12 2013 "obsr58678"
"67" "Pygoscelis papua" 10 -64.424446 -62.954544 NA 12 12 2013 "obsr58678"
"68" "Pygoscelis antarcticus" 4 -62.8379 -60.130806 NA 17 12 2013 "obsr58678"
"69" "Pygoscelis papua" 1 -64.84904 -62.973373 NA 15 12 2013 "obsr58678"
"70" "Pygoscelis papua" 5 -64.78293 -63.055286 NA 15 12 2013 "obsr58678"
"71" "Pygoscelis antarcticus" 1 -64.78293 -63.055286 NA 15 12 2013 "obsr58678"
"72" "Pygoscelis antarcticus" NA -62.102596 -57.69745 NA 28 12 2013 "obsr314232"
"73" "Pygoscelis papua" NA -61.238533 -54.81079 NA 28 12 2013 "obsr314232"
"74" "Pygoscelis antarcticus" NA -62.95889 -60.63639 NA 29 12 2013 "obsr314232"
"75" "Pygoscelis adeliae" NA -62.95889 -60.63639 NA 29 12 2013 "obsr314232"
"76" "Pygoscelis papua" NA -64.770836 -64.06528 NA 30 12 2013 "obsr314232"
"77" "Pygoscelis adeliae" NA -64.770836 -64.06528 NA 30 12 2013 "obsr314232"
"78" "Pygoscelis papua" NA -65.40116 -64.07776 NA 31 12 2013 "obsr436082"
"79" "Pygoscelis antarcticus" NA -65.40116 -64.07776 NA 31 12 2013 "obsr436082"
"80" "Pygoscelis adeliae" NA -65.40116 -64.07776 NA 31 12 2013 "obsr436082"
"81" "Eudyptes chrysolophus" 2 -62.99917 -60.555832 NA 17 12 2013 "obsr58678"
"82" "Pygoscelis adeliae" 1 -64.815834 -63.509724 NA 13 12 2013 "obsr58678"
"83" "Pygoscelis adeliae" NA -64.88333 -62.866665 NA 12 12 2008 "obsr336721"
"84" "Pygoscelis papua" NA -64.88333 -62.866665 NA 12 12 2008 "obsr336721"
"85" "Pygoscelis antarcticus" NA -64.88333 -62.866665 NA 12 12 2008 "obsr336721"
"86" "Pygoscelis papua" 20 -63.52222 -56.905 NA 2 12 2013 "obsr412701"
"87" "Pygoscelis adeliae" 100 -63.52222 -56.905 NA 2 12 2013 "obsr412701"
"88" "Aptenodytes forsteri" 16 -64.538994 -57.20581 NA 2 12 2013 "obsr412701"
"89" "Pygoscelis antarcticus" 100 -62.59528 -59.920555 NA 1 12 2013 "obsr412701"
"90" "Pygoscelis papua" 6 -62.595554 -59.90066 NA 12 11 2013 "obsr294601"
"91" "Pygoscelis antarcticus" 2500 -62.595554 -59.90066 NA 12 11 2013 "obsr294601"
"92" "Pygoscelis adeliae" NA -62.28244 -59.074707 NA 21 12 2007 "obsr422887"
"93" "Pygoscelis adeliae" NA -64.825836 -63.50028 NA 30 12 2012 "obsr418540"
"94" "Pygoscelis papua" NA -64.68389 -62.623055 NA 31 12 2012 "obsr418540"
"95" "Pygoscelis antarcticus" NA -64.825836 -63.50028 NA 30 12 2012 "obsr418540"
"96" "Pygoscelis papua" NA -64.825836 -63.50028 NA 30 12 2012 "obsr418540"
"97" "Pygoscelis papua" NA -62.400276 -59.78278 NA 29 12 2012 "obsr418540"
"98" "Pygoscelis antarcticus" NA -62.400276 -59.78278 NA 29 12 2012 "obsr418540"
"99" "Pygoscelis adeliae" NA -64.68389 -62.623055 NA 31 12 2012 "obsr418540"
"100" "Pygoscelis papua" NA -62.95889 -60.63639 NA 29 12 2012 "obsr418540"
"101" "Pygoscelis antarcticus" NA -62.95889 -60.63639 NA 29 12 2012 "obsr418540"
"102" "Pygoscelis adeliae" NA -63.52222 -56.905 NA 1 1 2013 "obsr418540"
"103" "Pygoscelis papua" NA -63.52222 -56.905 NA 1 1 2013 "obsr418540"
"104" "Pygoscelis adeliae" 1000 -64.69456 -62.971436 NA 19 2 2009 "obsr227627"
"105" "Pygoscelis antarcticus" 150 -61.128613 -55.095554 NA 1 1 2010 "obsr403913"
"106" "Pygoscelis papua" 30 -61.128613 -55.095554 NA 1 1 2010 "obsr403913"
"107" "Pygoscelis papua" 80 -62.465057 -60.784607 NA 1 1 2010 "obsr358977"
"108" "Pygoscelis antarcticus" 250 -62.465057 -60.784607 NA 1 1 2010 "obsr358977"
"109" "Eudyptes chrysolophus" 2 -62.65403 -60.61 NA 16 1 2013 "obsr37694"
"110" "Pygoscelis antarcticus" 200 -62.65403 -60.61 NA 16 1 2013 "obsr37694"
"111" "Pygoscelis papua" 50 -62.65403 -60.61 NA 16 1 2013 "obsr37694"
"112" "Pygoscelis papua" 500 -64.68389 -62.623055 NA 14 1 2013 "obsr37694"
"113" "Pygoscelis adeliae" 10000 -63.39037 -57.06333 NA 12 1 2013 "obsr37694"
"114" "Pygoscelis adeliae" 1 -62.3 -59.45 NA 1 12 2012 "obsr342295"
"115" "Pygoscelis papua" 4000 -62.3 -59.45 NA 1 12 2012 "obsr342295"
"116" "Pygoscelis adeliae" 1 -61.223 -55.157547 NA 10 1 2013 "obsr37694"
"117" "Eudyptes chrysolophus" 4 -61.223 -55.157547 NA 10 1 2013 "obsr37694"
"118" "Pygoscelis papua" 200 -64.825836 -63.50028 NA 15 1 2013 "obsr37694"
