lat,lon
-62.935332,-60.662332
-60.272265,-45.335241
-64.619744,-62.518019
-62.979063,-60.558483
-64.501853,-61.76433
-62.982649,-60.552445
-64.843737,-62.52807
-64.607504,-62.398939
-64.129444,-60.936781
-62.937122,-60.597719
-62.985512,-60.551437
-62.940902,-60.555375
-62.980187,-60.555163
-62.979188,-60.55752
-62.954243,-60.629715
-62.983365,-60.55927
-64.811871,-63.480442
-65.028027,-63.755285
-64.719963,-62.874594
-61.49,-58.476667
-63.528056,-61.54
-63.366667,-59.35
-63.036667,-57.719444
-63.256667,-59.231667
-63.083333,-58.65
-63.063333,-57.693333
-61.583333,-57.694722
-61.646667,-58.566667
-61.756667,-58.853056
-63.563333,-59.628056
-63.273333,-59.003056
-63.198333,-59.573333
-62.88,-59.838333
-62.6,-61.62
-63.048333,-57.81
-62.653333,-55.244722
-62.976667,-58.656667
-62.966667,-62.9
-62.655,-54.673333
-63.561389,-59.38
-63.613333,-59.183333
-63.248333,-59.101667
-63.061667,-59.015
-65.906667,-56.086111
-63.008333,-59.616667
-60.933333,-55.716667
-61.375,-58.158333
-63.466667,-60.45
-62.994722,-57.33
-63.933333,-62.95
-63.256667,-59.196389
-64.15,-61.216667
-63.333333,-59.266667
-63.565,-59.61
-63.446667,-59.123333
-63.252778,-59.465
-61.06,-55.981667
-64.288333,-61.306667
-63.583333,-61.096667
-63.051667,-59.17
-62.526667,-61.461667
-63.041667,-57.833333
-62.538333,-61.111667
-63.456667,-61.569444
-63.026667,-58.753333
-63.58,-60.825
-63.75,-60.05
-63.033333,-59.383333
-63.023333,-58.498333
-62.946667,-58.619722
-63.275,-59.115
-62.838333,-59.64
-63.028056,-57.94
-63.315,-59.233333
-63.01,-58.593333
-63.15,-59.016667
-63.055,-57.655
-61.465,-57.573333
-63.69,-60.426667
-63.835,-60.294722
-63.598333,-60.868333
-63.415,-59.144722
-61.052778,-55.855
-63.18,-58.915
-62.958333,-59.215
-63.125,-59.286667
-62.523333,-56.663333
-63.15,-58.75
-63.083333,-63.116667
-63.051667,-57.731667
-63.38,-59.915
-63.033333,-58.966944
-61.49,-57.74
-63.433333,-59.433333
-63.931667,-60.555
-63.981667,-60.838333
-63.453056,-59.153056
-63.446667,-59.143333
-63.288333,-59.238333
-63.795,-60.419444
-62.838333,-69.425
-63.088333,-59.186667
-63.038333,-57.888333
-63.006667,-59.52
-63.646667,-61.118333
-61.365,-57.706667
-63.183333,-58.7
-62.533333,-62.533333
-62.591667,-55.333333
-63.181667,-59.386389
-62.796667,-54.888333
-62.894722,-57.438333
-63.63,-59.482222
-62.915,-57.552778
-63.068333,-59.063333
-61.04,-55.761389
-62.886111,-57.394722
-62.54,-61.105
-61.486111,-58.481667
-62.996667,-57.525
-63.002778,-58.936111
-63.083333,-58.6
-63.073333,-57.708333
-61.636389,-57.681667
-61.611389,-58.573333
-61.809722,-58.859722
-63.23,-59.158333
-63.505,-59.45
-63.306667,-58.99
-63.186111,-59.393333
-63.283333,-59.038333
-63.555,-61.623333
-61.998333,-59.53
-60.455,-65.688333
-63.016667,-57.969444
-63.075,-59.655
-63.216667,-58.716667
-61.566667,-61.616667
-61.65,-61.666667
-63.816667,-60.183333
-62.796667,-54.865
-62.871667,-57.396667
-63.086111,-58.186389
-62.998333,-58.303056
-63.291667,-59.1
-63.286667,-59.084167
-63.173333,-58.685
-63.073333,-60.25
-63.544722,-61.411389
-62.726667,-59.485
-63.41,-61.408333
-63.5,-60.316667
-63.003333,-58.126667
-62.616667,-55.36
-63.083333,-63.05
-63.163333,-58.998333
-63.431667,-59.458333
-62.865,-57.408333
-63.231667,-59.565
-63.126667,-59.776667
-63.05,-59.266667
-63.431667,-59.316667
-62.53,-61.348333
-63.69,-61.061389
-62.683333,-62.7
-61.483333,-61.533333
-62.65,-62.75
-63.25,-59.516667
-61.611389,-58.588333
-62.883333,-57.353333
-63.473333,-59.463333
-63.111389,-58.13
-63.31,-59.006667
-61.091667,-55.986111
-61.056667,-56.02
-63.091667,-59.195
-63.352778,-61.35
-61.393333,-57.856667
-63.013333,-57.355
-63.066667,-58.7
-63.033333,-63.033333
-63.144722,-58.963333
-61.548333,-57.598333
-63.45,-59.433333
-63.341667,-59.331667
-63.271667,-59.436111
-61.05,-55.898333
-63.16,-59.191667
-63.04,-57.991667
-62.975,-59.702778
-63.055,-58.715
-61.413333,-58.05
-61.333333,-57.726667
-63.483333,-60.45
-62.95,-62.95
-63.215,-59.163333
-63.566667,-59.583333
-63.333333,-59.233333
-61.621667,-57.758333
-63.655,-59.456667
-63.928056,-60.57
-62.821667,-57.49
-63.369722,-59.3
-63.244722,-59.398333
-63.511389,-61.069444
-62.836667,-59.396667
-63.044722,-57.943333
-63.52,-59.471667
-63.006667,-57.886667
-62.601667,-55.306667
-63.088333,-58.376667
-63.033333,-63.016667
-62.883333,-62.9
-63.133333,-58.906667
-64.233333,-61.283333
-63.558333,-59.386389
-62.61,-61.548333
-61.052778,-55.83
-61.002778,-56.12
-63.1,-58.798333
-62.875,-57.506667
-61.791667,-57.396667
-63.416667,-60.6
-63.01,-57.821667
-63.058333,-58.311389
-63.133333,-58.733333
-63.1,-63.083333
-63.038333,-57.64
-63.423333,-60.08
-61.491667,-57.744722
-63.4,-59.466667
-63.458333,-59.144722
-63.455,-59.11
-63.276667,-59.358333
-63.058333,-58.906667
-63.513333,-61.215
-63.183333,-59.143333
-62.783333,-62.716667
-63.226389,-59.194722
-63.17,-58.22
-63.258333,-59.533333
-61.4,-57.836389
-61.469722,-58.366667
-61.641667,-58.563333
-63.151667,-58.428056
-63.813333,-60.313333
-63.121667,-58.296667
-63.08,-58.636389
-63.278056,-59.255
-63.761111,-60.436111
-62.681667,-61.575
-62.648333,-61.585
-63.671667,-61.21
-63.353333,-61.119444
-62.758333,-57.343333
-63.353333,-61.113333
-63.183333,-58.816667
-61.566667,-61.566667
-63.733333,-60.35
-62.844722,-54.731667
-63.583333,-59.45
-62.863333,-57.388333
-64.001667,-61.008333
-63.019722,-58.736389
-63.026667,-58.123333
-63.161389,-58.798333
-63.288333,-59.086667
-63.171667,-58.65
-63.133333,-59.79
-62.888333,-59.676667
-62.97,-59.288333
-62.586667,-61.651667
-63.311389,-59.338333
-61.616667,-61.483333
-63.15,-58.75
-61.544722,-57.633333
-63.88,-60.54
-63.88,-60.473333
-63.993333,-61.016667
-63.456667,-59.148333
-63.465,-59.105
-63.276667,-59.21
-61.928333,-59.305
-63.146667,-59.966667
-63.156667,-60.228056
-62.886111,-57.336111
-62.963333,-59.716667
-61.455,-58.471667
-63.366667,-60.7
-62.93,-57.938333
-63.033333,-57.871667
-60.343333,-47.423333
-61.366667,-61.383333
-63.031667,-57.738333
-61.383333,-58.165
-61.74,-58.898333
-63.975,-60.76
-63.911389,-60.421667
-63.452778,-59.573333
-63.033333,-58.206667
-63.058333,-58.702778
-62.081667,-60.298333
-61.066667,-56.056667
-62.896667,-57.331667
-62.97,-59.466667
-62.573333,-61.088333
-62.561667,-61.358333
-63.566667,-60.533333
-63.016667,-58.896667
-63.24,-59.216667
-63.628056,-60.785
-63.116667,-58.75
-63.816667,-60.266667
-63.316667,-59.383333
-63.685,-59.896667
-63.973333,-60.781667
-63.383333,-59.203056
-64.202778,-61.296667
-62.543333,-61.38
-63.015,-57.915
-63.466667,-60.35
-61.483333,-61.5
-63.263333,-59.038333
-63.05,-63.066667
-63.193333,-58.963333
-62.983333,-58.883333
