lat,lon
-64.716667,-62.866667
-65.165304,-64.111419
-64.637601,-62.542076
-64.5,-62.245443
-64.81718,-63.543677
-63,-59
-64.488173,-62.196004
-63.013713,-62.208862
-62.248387,-58.826294
-64.333,-62.9166
-65,-62
-64,-60
-64,-60
-62.5,-58
-64,-60
-64,-60
-67.167618,-67.650219
-67.2282,-67.574
-65.996657,-65.431109
-64.530986,-63.136936
-65.833281,-65.145497
-67.184905,-67.631562
-64.307836,-62.791841
-65.883465,-65.177973
-64.530986,-63.136936
-65.835258,-65.141507
-65.884179,-65.499327
-65.015646,-62.250955
-65.88332,-65.12528
-67.188758,-67.637261
-67.170406,-67.643705
-65.922792,-65.280403
-64.728669,-62.613317
-65.922504,-65.279526
-65.991173,-65.418131
-65.98642,-65.436875
-64.663494,-62.01059
-64.947408,-63.845677
-65.978581,-65.345579
-63.809997,-64.09161
-67.195162,-67.60592
-66.009346,-65.469484
-65.387167,-64.058071
-64.7295,-62.614447
-67.071085,-67.426447
-65.899891,-65.187816
-67.710171,-67.205801
-66.00512,-65.98857
-65.992163,-65.434329
-67.426275,-70.123298
-64.541705,-64.152674
-64.547229,-62.375075
-64.627888,-62.541767
-64.734177,-62.608659
-64.661185,-62.892468
-64.723397,-62.59949
-64.951962,-63.387208
-64.556403,-62.427971
-64.962501,-63.720321
-64.720721,-62.573275
-64.630387,-62.562512
-64.620195,-62.519074
-65.199556,-64.309581
-68.437886,-68.30243
-64.731422,-62.601874
-64.983253,-63.743357
-64.630165,-62.542827
-64.662,-62.9007
-64.661987,-62.901218
-64.541705,-64.152674
-64.730427,-62.602024
-64.541705,-64.152674
-65.002906,-63.798128
-65.001761,-63.794662
-64.631897,-62.552447
-64.61947,-62.538501
-64.6624,-62.8838
-64.652547,-62.868503
-64.506,-62.805
-68.674016,-69.271043
-65.010141,-63.823034
-64.529472,-62.354191
-64.723568,-62.596969
-64.541705,-64.152674
-64.717628,-62.603528
-64.343363,-62.783987
-66.81508,-67.680955
-64.819495,-63.546876
-64.915671,-63.317933
-64.647895,-61.605582
-64.799255,-63.493028
-64.46815,-63.074394
-64.559508,-62.422938
-64.530892,-62.71012
-64.662405,-62.902363
-64.541705,-64.152674
-64.932906,-63.707502
-64.541705,-64.152674
-67.174454,-67.652486
-65.004247,-63.449789
-64.890833,-64.538486
-64.816139,-62.629768
-67.177961,-67.65667
-64.581712,-64.808687
-67.173274,-67.664638
-66.0111,-65.61055
-65.230012,-64.169533
-64.759845,-62.758325
-65.108617,-64.035294
-66.116,-67.271
-67.198587,-67.678003
-65.224267,-64.15747
-65.239678,-64.198455
-67.597963,-67.940664
-62.978,-60.9978
-64.501395,-63.076307
-68.429658,-68.276278
-65.230595,-64.169414
-65.235178,-64.168188
-67.195,-67.700487
-65.165,-65.413
-67.179291,-67.659937
-67.57467,-68.14305
-67.169729,-67.644647
-64.521166,-63.12258
-64.123841,-60.969319
-63.247315,-59.546582
-65.224412,-64.156814
-64.683359,-62.631858
-64.585,-62.567
-64.505117,-63.077823
-64.718341,-62.851277
-65.239362,-64.197499
-64.411767,-63.110358
-64.801212,-63.149847
-64.581622,-64.80825
-64.528795,-63.134513
-66.89,-68.912
-66.952901,-67.610012
-63.292365,-63.105154
-65.93035,-65.418337
-64.894665,-62.874302
-64.583612,-62.574878
-67.137153,-67.678672
-64.889474,-62.860909
-65.228395,-64.166328
-64.956417,-63.113459
-64.845008,-62.531547
-67.221852,-67.788335
-68.845017,-69.894975
-65.228005,-64.151566
-64.421355,-62.955172
-66.402367,-67.846175
-64.621518,-62.561071
-65.228206,-64.190975
-65.143158,-64.132758
-66.90518,-68.946962
-65.185016,-64.150792
-64.845008,-62.531545
-65.22435,-64.157411
-65.22435,-64.157411
-67.57461,-68.136079
-64.894783,-62.874001
-64.655461,-62.660945
-66.506844,-66.850042
-67.2029,-67.707
-64.604635,-62.573533
-64.946553,-66.039799
-64.618123,-62.540018
-60.072736,-63.360694
-62.47037,-58.76355
-65.11289,-64.069949
-68.250825,-67.228408
-64.676855,-62.703162
-67.155946,-67.636091
-67.571209,-68.117642
-61.6129,-62.929559
-64.676436,-62.050536
-67.07735,-67.701081
-64.33103,-62.323073
-65.176847,-64.153848
-65.109388,-64.163734
-64.543987,-61.982558
-67.574753,-68.142753
-64.848228,-62.551083
-65.237647,-64.185945
-65.230728,-64.175545
-65.170626,-64.143513
-63.339101,-63.218567
-65.233658,-64.14618
-64.498585,-63.083516
-64.894965,-62.872285
-67.1732,-67.668343
-67.167256,-67.64429
-62.17944,-57.96861
-65.425582,-66.153016
-64.861617,-62.80553
-65.161734,-64.120358
-66.089645,-67.238258
-65.22435,-64.157411
-68.252188,-67.148347
-67.801217,-67.279213
-64.570756,-62.555653
-67.574692,-68.143075
-67.016175,-69.208708
-64.897112,-63.647188
-65.052652,-63.991333
-67.200683,-67.693695
-67.435,-67.857
-64.516614,-63.1
-64.844817,-62.528155
-68.679,-70.066
-64.503625,-63.099317
-64.849757,-62.543168
-65.220204,-64.163984
-68.429658,-68.276267
-66.94407,-67.614388
-64.68565,-62.97802
-65.170626,-64.143513
-67.187481,-67.708925
-66.019,-65.618
-64.601222,-62.51762
-67.007657,-69.078385
-64.6877,-62.9622
-62.953029,-59.549395
-63.407844,-56.677893
-65.10746,-64.142812
-65.246912,-64.253196
-64.421258,-62.955487
-67.176958,-67.658521
-64.383858,-63.019011
-64.68565,-62.97802
-67.574678,-68.144714
-64.854562,-62.558597
-64.848075,-62.540345
-67.169835,-67.644274
-65.179955,-64.151772
-64.499087,-63.058522
-65.224113,-64.157572
-64.74278,-63.452241
-64.690177,-62.968763
-64.026521,-61.108705
-63.324654,-63.22406
-66.443733,-67.94365
-66.58905,-68.251847
-65.996,-66.486
-67.589862,-68.054434
-64.02944,-61.06806
-64.713059,-62.60142
-64.50647,-63.0878
-64.705995,-62.97907
-67.171288,-67.646912
-67.186734,-67.701913
-65.230003,-64.169717
-64.38443,-63.028317
-65.034841,-63.33782
-64.956417,-63.113459
-64.940991,-63.348463
-66.48452,-68.0327
-64.735481,-63.011483
-64.522194,-61.756869
-64.509498,-61.648131
-63.900983,-60.77055
-64.521227,-61.642583
-63.900983,-60.77055
-62.851912,-59.533924
-66.020595,-66.21369
-64.89719,-62.881702
-64.89719,-62.881702
-66.936132,-67.27949
-64.147164,-61.755317
-65.170383,-64.13232
-64.750183,-62.779267
-64.470406,-61.751981
-65.151026,-64.134749
-64.635944,-62.80011
-64.750183,-62.779267
-64.750183,-62.779267
-64.501477,-61.664558
-64.635944,-62.80011
-62.28926,-58.349558
-65.244,-64.164
-65.154097,-64.13351
-63.90215,-60.774167
-64.8,-63.5
-65.156012,-64.128807
-64.750183,-62.779267
-65.14988,-64.143479
-65.085046,-63.964462
-64.750183,-62.779267
-65.153117,-64.13479
-65.244,-64.164
-64.750183,-62.779267
-63.90215,-60.774167
-63.90215,-60.774167
-64.750183,-62.779267
-66.474738,-68.460122
-63.90215,-60.774167
-64.750183,-62.779267
-64.750183,-62.779267
-63.90215,-60.774167
-66.474738,-68.460122
-64.750183,-62.779267
-65.114676,-64.019282
-65.114676,-64.019282
-64.401815,-61.54663
-62.8693,-60.5297
-64.401815,-61.54663
-65.233978,-64.208381
-65.114676,-64.019282
-62.8693,-60.5297
-65.063379,-64.047112
-65.063379,-64.047112
-65.233978,-64.208381
-64.218183,-61.919383
-64.384867,-61.476158
-64.517756,-63.086685
-64.218183,-61.919383
-64.503197,-63.081252
-64.218183,-61.919383
-64.72,-62.61
-64.893769,-62.881172
-64.218183,-61.919383
-64.46014,-63.182914
-64.218183,-61.919383
-64.65,-62.65
-64.450271,-63.169489
-64.194722,-61.9025
-64.45,-63.2
-64.218183,-61.919383
-64.620417,-62.782889
-68.2085,-67.281611
-64.633365,-62.566672
-64.873548,-62.915922
-64.612583,-62.746167
-64.68,-62.63
-64.5,-62
-64.976733,-63.515297
-64.5585,-61.857
-64.906172,-62.918214
-64.861333,-62.847022
-64.861916,-62.839812
-64.861041,-62.836035
-64.861041,-62.837409
-64.881611,-62.881
-64.894238,-62.868286
-64.237208,-61.162701
-64.307833,-61.699
-64.237208,-61.162701
-65.098968,-64.100761
-64.412333,-61.9975
-64.894438,-62.869145
-64.142023,-61.860138
-64.142023,-61.860138
-64.142023,-61.860138
-64.688712,-63.055353
-64.2905,-61.666833
-64.142023,-61.860138
-65.262222,-64.128904
-64.142023,-61.860138
-64.142023,-61.860138
-64.142023,-61.860138
-64.142023,-61.860138
-64.142023,-61.860138
-65.014168,-63.751293
-64.142023,-61.860138
-64.90225,-62.902483
-64.564471,-62.413673
-65.177247,-64.125806
-64.90225,-62.902483
-65.111109,-64.042912
-64.90225,-62.902483
-64.5191,-61.6626
-62.53,-59.8
-64.90225,-62.902483
-64.90225,-62.902483
-64.840254,-62.546164
-64.90225,-62.902483
-64.58,-61.63
-64.90225,-62.902483
-64.56,-62.47
-64.2548,-61.611767
-64.58,-61.63
-62.703267,-58.594683
-62.169909,-58.542618
-64.528909,-61.676625
-64.90225,-62.902483
-62.99898,-59.20462
-64.90225,-62.902483
-62.42755,-58.8041
-64.851217,-62.647017
-62.703267,-58.594683
-67.406728,-67.682758
-62.5299,-58.930567
-63,-59
-67.17408,-67.650719
-64.237208,-61.162701
-64.52,-63.1
-64.281183,-63.107223
-64.237208,-61.162701
-64.281183,-63.107223
-64.63298,-62.57072
-64.245099,-61.122037
-63.943431,-61.405764
-64.281183,-63.107223
-65.053813,-63.924231
-64.281183,-63.107223
-64.14,-61.79
-64.729285,-62.613002
-65.246905,-64.294843
-64.281183,-63.107223
-65.114455,-64.029367
-64.55,-62.02
-64.281183,-63.107223
-65.053813,-63.924231
-65.23686,-64.293649
-64.445617,-61.686393
-64.518753,-61.681523
-64.473617,-63.022769
-64.7705,-62.78045
-64.7705,-62.78045
-64.7705,-62.78045
-64.7705,-62.78045
-64.46,-62.51
-64.7705,-62.78045
-64.7705,-62.78045
-64.707864,-63.148314
-64.46,-62.51
-64.520032,-62.014418
-64.319695,-62.911858
-64.319695,-62.911858
-64.529783,-61.957693
-64.514286,-62.023117
-64.174269,-61.027922
-64.146356,-61.005975
-64.156937,-60.98333
-64.457025,-62.542428
-62.873002,-60.5066
-65.688053,-64.911052
-64.498888,-62.054616
-64.146378,-61.005978
-65.244,-64.164
-65.230742,-64.193642
-64.76888,-62.98402
-62.872695,-60.508407
-62.872478,-60.509312
