,Unnamed: 0,City,Candidate (HTML),Status,Reason,Ordre,Libellé de la liste,Code nuance de liste,Numéro de panneau,Code circonscription,Code département,Libellé département,Code commune,Libellé commune,% Voix/exprimés,Libellé de liste,Code commune str,% Voix/exprimés str,population,latitude_centre,longitude_centre,dep_nom,reg_nom,nom_standard,superficie_km2,densite
358,358,Vélizy-Villacoublay,Guillaume GESDON,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
359,359,Vendôme,Frédéric Chauveau,Found,Match successful.,10.0,DYNAMIQUE VENDÔMOISE,LDVG,1.0,41269,41.0,Loir-et-Cher,41269.0,Vendôme,"21,82%",DYNAMIQUE VENDÔMOISE,41269,21.82,15747.0,47.801,1.061,Loir-et-Cher,Centre-Val de Loire,Vendôme,24.0,659.0
360,360,Vernon,Gilles Dantu,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
361,361,Verrières-le-Buisson,Patricia LUBELSKI,Found,Match successful.,4.0,Réussir ensemble Verrières-le-Buisson,LDVC,3.0,91645,91.0,Essonne,91645.0,Verrières-le-Buisson,"36,28%",Réussir ensemble Verrières-le-Buisson,91645,36.28,14597.0,48.75,2.252,Essonne,Île-de-France,Verrières-le-Buisson,10.0,1461.0
362,362,Vertou,Jean-Marc CHIROL,Found,Match successful.,4.0,VIVRE ENSEMBLE A VERTOU,LUG,2.0,44215,44.0,Loire-Atlantique,44215.0,Vertou,"31,37%",VIVRE ENSEMBLE A VERTOU,44215,31.37,26002.0,47.16,-1.47,Loire-Atlantique,Pays de la Loire,Vertou,38.0,681.0
363,363,Vichy,Paule Thioulouse,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
364,364,Vienne,Baptiste Audet,Found,Match successful.,11.0,Vienne vivante,LUG,3.0,38544,38.0,Isère,38544.0,Vienne,"25,01%",Vienne vivante,38544,25.01,31051.0,45.521,4.881,Isère,Auvergne-Rhône-Alpes,Vienne,23.0,1374.0
365,365,Vif,Joseph Sciascia,Found,Match successful.,27.0,BIEN VIVRE A VIF AVEC GUILLAUME CARASSIO,LDVG,5.0,38545,38.0,Isère,38545.0,Vif,"33,90%",BIEN VIVRE A VIF AVEC GUILLAUME CARASSIO,38545,33.9,8584.0,45.043,5.674,Isère,Auvergne-Rhône-Alpes,Vif,27.0,314.0
366,366,Ville D’Avray,Bertrand Chatelet,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
367,367,Villefranche-sur-Saône,Marc DUPUIS,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
368,368,Villeneuve-Les-Avignon,Florent Lemont,Found,Match successful.,4.0,Parce que j'aime Villeneuve,LDVG,2.0,30351,30.0,Gard,30351.0,Villeneuve-lès-Avignon,"26,71%",Parce que j'aime Villeneuve,30351,26.71,12617.0,43.977,4.795,Gard,Occitanie,Villeneuve-lès-Avignon,18.0,694.0
369,369,Villiers-Sur-Marne,Pascale Delhaye,Found,Match successful.,14.0,"POUR VOUS, POUR VILLIERS, LA GAUCHE, LES ECOLOGISTES, LES CITOYENS UNIS",LUG,2.0,94079,94.0,Val-de-Marne,94079.0,Villiers-sur-Marne,"26,70%","POUR VOUS, POUR VILLIERS, LA GAUCHE, LES ECOLOGISTES, LES CITOYENS UNIS",94079,26.7,30669.0,48.826,2.545,Val-de-Marne,Île-de-France,Villiers-sur-Marne,4.0,7099.0
370,370,Viry-Châtillon,Frédéric DE BELS,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
371,371,Voiron,Johanne Vial,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
