Quantity;latitude;Longitude;Date
17806;-63.25;-59.516667;04/04/2014
9545;-61.611389;-58.588333;15/01/2013
58506;-62.883333;-57.353333;19/05/2021
12213;-63.473333;-59.463333;09/04/2018
26473;-63.111389;-58.13;24/03/2018
7732;-63.31;-59.006667;29/12/2011
18780;-61.091667;-55.986111;05/01/2019
18488;-61.056667;-56.02;12/01/2019
3340;-63.091667;-59.195;20/12/2011
17127;-63.352778;-61.35;03/07/2019
3966;-61.393333;-57.856667;31/12/2020
32123;-63.013333;-57.355;13/06/2022
21824.8;-63.066667;-58.7;04/05/2013
14903;-63.033333;-63.033333;29/12/2013
35979;-63.144722;-58.963333;27/04/2022
12290;-61.548333;-57.598333;26/01/2013
24299;-63.45;-59.433333;24/03/2013
48269;-63.341667;-59.331667;06/06/2018
41535;-63.271667;-59.436111;15/06/2018
19932;-61.05;-55.898333;30/12/2018
7596;-63.16;-59.191667;17/12/2011
24537;-63.04;-57.991667;23/04/2019
17210;-62.975;-59.702778;20/04/2019
24011;-63.055;-58.715;10/05/2019
25716;-61.413333;-58.05;01/01/2021
16590;-61.333333;-57.726667;19/01/2021
19268;-63.483333;-60.45;06/05/2014
8701;-62.95;-62.95;04/01/2014
19232;-63.215;-59.163333;29/04/2022
17714;-63.566667;-59.583333;06/04/2014
16841;-63.333333;-59.233333;07/04/2014
5240;-61.621667;-57.758333;24/01/2013
14652;-63.655;-59.456667;24/03/2013
22846;-63.928056;-60.57;14/04/2021
75488;-62.821667;-57.49;24/05/2021
13913;-63.369722;-59.3;07/06/2018
38542;-63.244722;-59.398333;15/06/2018
28744;-63.511389;-61.069444;24/06/2019
21333;-62.836667;-59.396667;15/06/2019
30042;-63.044722;-57.943333;23/04/2019
14235;-63.52;-59.471667;07/05/2019
14219;-63.006667;-57.886667;15/05/2020
22290;-62.601667;-55.306667;06/04/2022
19696;-63.088333;-58.376667;21/06/2022
3694;-63.033333;-63.016667;09/01/2014
3306;-62.883333;-62.9;13/01/2014
35542;-63.133333;-58.906667;27/04/2022
718;-64.233333;-61.283333;26/03/2014
3604;-63.558333;-59.386389;05/04/2018
18624;-62.61;-61.548333;21/04/2012
11171;-61.052778;-55.83;30/12/2018
19437;-61.002778;-56.12;06/01/2019
24293;-63.1;-58.798333;02/04/2012
24219;-62.875;-57.506667;02/05/2019
2884;-61.791667;-57.396667;31/12/2020
12469;-63.416667;-60.6;26/04/2014
