,year,dcmlLtt,dcmlLng
159,1931,-64.9333,-72.18329999999999
160,1931,-64.9333,-72.18329999999999
161,1931,-64.7,-73.5667
162,1931,-64.7,-73.5667
163,1931,-64.7,-73.5667
164,1931,-64.2833,-75.5167
165,1931,-64.2833,-75.5167
166,1931,-64.2833,-75.5167
167,1931,-65.5167,-68.9333
168,1931,-67.0,-69.68329999999999
169,1931,-65.85,-69.9833
170,1931,-65.25,-70.4333
171,1931,-65.25,-70.4333
172,1931,-65.25,-70.4333
173,1931,-67.13329999999999,-69.1167
174,1931,-66.68329999999999,-66.9333
175,1931,-66.0667,-66.4167
176,1931,-65.0833,-67.8667
177,1931,-56.4667,-27.35
178,1931,-56.166700000000006,-25.5833
179,1931,-64.8333,-63.5
180,1931,-57.7,-23.2
181,1931,-57.0667,-24.5333
182,1931,-64.25,-61.666700000000006
183,1931,-62.95,-61.26670000000001
184,1931,-58.65,-18.2167
185,1931,-57.8667,-19.8667
186,1931,-60.9833,-17.8333
187,1931,-60.1833,-18.0
188,1931,-62.666700000000006,-17.0333
189,1931,-61.849999999999994,-17.25
190,1931,-65.2833,-15.55
191,1931,-64.1167,-15.633299999999998
192,1931,-55.3667,-33.066700000000004
193,1931,-62.7,-57.166700000000006
194,1931,-62.8167,-58.45
195,1931,-60.133300000000006,-48.3333
196,1931,-61.0,-50.7167
197,1931,-60.9333,-47.9667
198,1931,-59.7167,-43.9667
199,1931,-60.3667,-45.666700000000006
200,1931,-59.2,-40.4
201,1931,-59.55,-43.1167
202,1931,-58.8333,-38.8833
203,1931,-58.5833,-31.3667
204,1931,-59.0167,-34.1833
205,1931,-59.1,-36.0
206,1931,-57.3667,-26.5
207,1931,-58.0333,-29.2
208,1931,-56.9,-23.8
209,1931,-55.8667,-26.7333
210,1931,-53.5667,-30.0167
211,1931,-61.45,-53.8
212,1931,-61.9667,-53.9167
213,1931,-61.8667,-54.9667
214,1931,-61.75,-56.1167
215,1931,-61.349999999999994,-56.666700000000006
216,1931,-60.3833,-57.7167
217,1931,-59.4833,-58.666700000000006
218,1931,-58.5167,-59.6833
219,1931,-53.2,-37.6833
220,1931,-53.0,-37.8
221,1931,-53.5333,-44.4
222,1931,-52.8167,-38.0667
223,1931,-52.5833,-38.15
224,1931,-53.95,-40.166700000000006
225,1931,-53.633300000000006,-40.45
226,1932,-53.9667,-61.9833
227,1932,-53.9667,-61.9833
228,1932,-53.4,-74.9667
229,1932,-53.4,-74.9667
230,1932,-56.2167,-75.1167
231,1932,-56.2167,-75.1167
232,1932,-58.45,-75.1167
233,1932,-58.45,-75.1167
234,1932,-60.6,-75.0667
235,1932,-60.6,-75.0667
236,1932,-62.95,-75.0333
237,1932,-62.95,-75.0333
238,1932,-63.9167,-73.4833
239,1932,-63.9167,-73.4833
240,1932,-62.8,-69.4167
241,1932,-62.8,-69.4167
242,1932,-61.4333,-64.5333
243,1932,-61.4333,-64.5333
244,1932,-61.4333,-64.5333
245,1932,-59.9,-61.05
246,1932,-59.9,-61.05
247,1932,-59.9,-61.05
248,1932,-59.3833,-55.0667
249,1932,-59.3833,-55.0667
250,1932,-59.3833,-55.0667
251,1932,-55.4833,-54.23330000000001
252,1932,-55.4833,-54.23330000000001
253,1932,-53.0833,-54.0833
254,1932,-53.0833,-54.0833
255,1932,-58.849999999999994,-36.9
256,1932,-56.349999999999994,-36.5833
257,1932,-57.043,-36.787
258,1932,-58.849999999999994,-36.9
259,1932,-58.849999999999994,-36.9
260,1932,-55.25,-36.26670000000001
261,1932,-56.349999999999994,-36.5833
262,1932,-56.349999999999994,-36.5833
263,1932,-55.25,-36.26670000000001
264,1932,-55.25,-36.26670000000001
265,1932,-57.45,-21.483299999999996
266,1932,-57.45,-21.483299999999996
267,1932,-53.4167,-22.3167
268,1932,-55.5,-21.05
269,1932,-59.9333,-22.35
270,1932,-59.9333,-22.35
271,1932,-57.45,-21.483299999999996
272,1932,-61.5167,-23.2
273,1932,-61.5167,-23.2
274,1932,-59.9333,-22.35
275,1932,-61.5167,-23.2
276,1932,-64.9333,-23.2167
277,1932,-64.9333,-23.2167
278,1932,-66.95,-22.6333
279,1932,-66.95,-22.6333
280,1932,-62.73330000000001,-23.3
281,1932,-68.14999999999999,-22.0167
282,1932,-68.14999999999999,-22.0167
283,1932,-64.9333,-23.2167
284,1932,-66.05,-22.5833
285,1932,-66.95,-22.6333
286,1932,-68.14999999999999,-22.0167
287,1932,-68.18329999999999,-24.8833
288,1932,-67.4,-25.6833
289,1932,-65.9167,-28.5
290,1932,-63.9,-33.4167
291,1932,-63.9,-33.4167
292,1932,-63.9,-33.4167
293,1932,-59.95,-36.1167
294,1932,-59.95,-36.1167
295,1932,-56.5167,-36.0167
296,1932,-56.5167,-36.0167
297,1932,-59.95,-36.1167
298,1932,-56.5167,-36.0167
299,1932,-51.73800000000001,-55.95
300,1932,-51.7167,-50.5333
301,1932,-51.7167,-50.5333
302,1932,-52.5333,-44.849999999999994
303,1932,-52.5333,-44.849999999999994
304,1932,-52.5333,-44.849999999999994
305,1932,-53.3167,-39.5333
306,1932,-53.3167,-39.5333
307,1932,-53.3167,-39.5333
308,1932,-53.9667,-35.8333
309,1932,-52.2833,-31.0167
310,1932,-52.2833,-31.0167
