lon,lat,course,timestamp,speed
6.4473733333,62.5929166667,188.0,2018-12-10 12:46:06+00:00,0.0
6.4473616667,62.5929166667,71.6999969482,2018-12-11 02:06:04+00:00,0.0
6.4473666667,62.592915,188.5,2018-12-11 15:11:05+00:00,0.0
6.4473566667,62.5929166667,159.4,2018-12-12 04:01:56+00:00,0.0
6.4473716667,62.5929116667,159.9,2018-12-12 18:12:44+00:00,0.0
6.4473633333,62.5929066667,154.8,2018-12-13 07:22:15+00:00,0.0
6.44735,62.592905,179.7,2018-12-13 19:52:05+00:00,0.0
6.4473616667,62.592915,168.8000030518,2018-12-14 08:35:05+00:00,0.0
6.4474016667,62.59291,105.8,2018-12-14 20:55:25+00:00,0.0
6.4473966667,62.5929183333,146.3999938965,2018-12-15 09:11:59+00:00,0.0
6.4473783333,62.5929133333,193.6999969482,2018-12-15 21:42:05+00:00,0.0
6.4473866667,62.59292,243.6000061035,2018-12-16 10:15:12+00:00,0.0
6.5819133333,62.7177416667,10.7,2018-12-16 16:05:39+00:00,10.7
6.462785,62.6581733333,210.1,2018-12-16 17:51:29+00:00,13.2
6.4710433333,62.6633033333,214.1,2018-12-16 19:28:05+00:00,17.1
6.4766733333,62.6552783333,42.5999984741,2018-12-16 23:51:26+00:00,11.1000003815
6.6090733333,62.7253733333,24.1000003815,2018-12-17 01:09:02+00:00,17.2999992371
6.9274233333,62.6915216667,57.8,2018-12-17 02:30:02+00:00,17.1
6.5458033333,62.6320533333,251.1,2018-12-17 04:45:07+00:00,8.4
6.423855,62.6213616667,346.3999938965,2018-12-17 07:33:09+00:00,0.5
6.552225,62.7125816667,325.4,2018-12-17 11:40:26+00:00,9.9
6.5115216667,62.6901366667,27.5,2018-12-17 13:08:07+00:00,17.1000003815
6.46708,62.638675,181.7,2018-12-17 14:16:49+00:00,10.9
6.4586016667,62.656235,339.7,2018-12-17 20:04:37+00:00,1.7
6.468945,62.6738383333,147.1,2018-12-18 01:41:16+00:00,2.0
6.4521516667,62.6072716667,185.3,2018-12-18 05:30:56+00:00,3.8
6.447355,62.592915,203.1000061035,2018-12-18 17:08:32+00:00,0.0
6.447365,62.5929183333,207.1000061035,2018-12-19 06:02:39+00:00,0.0
6.4473666667,62.5929116667,191.8999938965,2018-12-19 15:14:44+00:00,0.0
6.4473166667,62.5929366667,302.799987793,2018-12-20 03:59:51+00:00,0.0
6.4473583333,62.5929033333,319.200012207,2018-12-20 16:35:58+00:00,0.0
6.4473583333,62.5929166667,153.6999969482,2018-12-21 04:57:05+00:00,0.0
6.4473466667,62.5929183333,169.6,2018-12-21 17:33:10+00:00,0.0
6.4473816667,62.59291,324.299987793,2018-12-22 06:24:18+00:00,0.0
6.4473666667,62.59291,182.4,2018-12-22 19:24:24+00:00,0.0
6.447385,62.5929166667,160.6999969482,2018-12-23 08:18:32+00:00,0.0
6.4473616667,62.59291,148.5,2018-12-23 21:24:38+00:00,0.0
6.447385,62.59292,184.5,2018-12-24 10:00:46+00:00,0.0
6.4473433333,62.59291,131.1999969482,2018-12-24 23:12:53+00:00,0.0
6.4473666667,62.5929133333,145.6000061035,2018-12-25 11:51:59+00:00,0.0
6.4473366667,62.592905,166.6999969482,2018-12-26 00:19:06+00:00,0.0
6.44737,62.5929166667,189.3000030518,2018-12-26 13:01:13+00:00,0.0
6.4473433333,62.5929116667,200.6,2018-12-27 01:52:19+00:00,0.0
6.447365,62.5929066667,325.2,2018-12-27 13:10:25+00:00,0.0
6.4473566667,62.5929133333,178.8000030518,2018-12-28 02:25:33+00:00,0.0
6.44737,62.5929083333,236.1,2018-12-28 15:01:38+00:00,0.0
6.4473616667,62.59291,130.1999969482,2018-12-29 03:37:46+00:00,0.0
6.4473716667,62.59291,149.8999938965,2018-12-29 16:22:53+00:00,0.0
6.44738,62.5929116667,163.6000061035,2018-12-30 05:17:00+00:00,0.0
6.4473616667,62.5929083333,160.0,2018-12-30 17:44:05+00:00,0.0
6.4473833333,62.5929066667,1.2999999523,2018-12-31 06:53:14+00:00,0.0
6.4473816667,62.5929183333,229.2,2018-12-31 19:56:19+00:00,0.0
6.4473733333,62.5929133333,202.5,2019-01-01 08:23:27+00:00,0.0
